,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,6,14,0,3,0,0,0,1,0,3,0
BCC,9,225,0,10,0,0,0,4,1,14,0
BEN_OTH,0,1,0,0,0,0,0,0,0,0,0
BKL,3,15,0,20,0,0,0,7,7,5,0
DF,0,1,0,1,0,1,0,1,0,0,0
INF,0,2,0,0,0,0,0,1,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,2,4,0,2,0,0,0,22,12,1,0
NV,0,6,0,2,0,0,0,12,49,0,1
SCCKA,5,18,0,5,0,0,0,1,0,19,0
VASC,0,3,0,0,0,0,0,0,3,0,2
