,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,3,15,0,3,0,0,0,0,1,5,0
BCC,1,240,0,5,0,0,0,3,1,13,0
BEN_OTH,0,1,0,0,0,0,0,0,0,0,0
BKL,0,20,0,15,0,0,0,7,10,5,0
DF,0,1,0,1,0,0,0,0,2,0,0
INF,0,2,0,1,0,0,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,1,6,0,2,0,0,0,18,15,1,0
NV,0,7,0,2,0,0,0,4,57,0,0
SCCKA,0,22,0,5,0,0,0,0,0,21,0
VASC,0,3,0,1,0,0,0,0,4,0,0
