,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,3,15,0,4,0,0,0,1,0,4,0
BCC,1,240,0,9,0,0,0,3,0,10,0
BEN_OTH,0,1,0,0,0,0,0,0,0,0,0
BKL,1,19,0,19,0,0,0,9,4,5,0
DF,0,1,0,1,0,0,0,0,2,0,0
INF,0,2,0,0,0,0,0,1,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,1,5,0,1,0,0,0,26,8,2,0
NV,0,6,0,3,0,0,0,10,51,0,0
SCCKA,0,20,0,5,0,0,0,0,0,23,0
VASC,0,3,0,1,0,0,0,1,3,0,0
