epoch,train_loss,train_acc,lr,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.8534543278096286,76.03796946123715,0.0004969282409784,0.7528528061555457,0.8082901554404145,0.5168736896088812,0.5168736896088812,0.5443517839687193,0.602935911206588,0.6438623687672487,0.6391247220537699,0.4682129554083242,0.9516457205871456,0.9516457205871456,0.6185982470456585,0.5168736896088812,0.9513392657994428,0.602935911206588,0.9625139759444158,0.8995016611295681,0.9400549115314216,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_005_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_05.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_005_detailed_metrics.json
10,0.6578453800572968,83.12009904950402,0.0004877886008156,0.6191660777274809,0.8652849740932642,0.6310549496960647,0.6310549496960647,0.6423826673526553,0.6704565030146424,0.7549049039386793,0.7519893243710769,0.5988368761330557,0.974270691872686,0.974270691872686,0.7533266752200914,0.6310549496960647,0.967781926436991,0.6704565030146424,0.9749198903422842,0.9147286821705428,0.9588163514338012,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_010_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_10.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_010_detailed_metrics.json
15,0.5886748900258044,86.17416426107208,0.0004728061277849,0.5980735560155286,0.8652849740932642,0.6450295639320031,0.6450295639320031,0.6472506001872043,0.6542011732229124,0.7570600385066286,0.756265785894696,0.6154241430251641,0.9763940834631673,0.9763940834631673,0.8134205988736546,0.6450295639320031,0.9703945790931612,0.6542011732229124,0.9737692271296714,0.9244186046511628,0.9588163514338012,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_015_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_15.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_015_detailed_metrics.json
20,0.5347454331209479,88.46884027938434,0.0004523497400965,0.5667939884057317,0.8860103626943006,0.8107067438948973,0.8107067438948973,0.8178648660576372,0.8269939860001971,0.7941312193063765,0.7936430793157077,0.7842557180730575,0.9810308276741294,0.9810308276741294,0.8481152520811255,0.8107067438948973,0.9735489741781602,0.8269939860001971,0.9769639611996984,0.9590254706533776,0.9647651006711409,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_020_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_20.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_020_detailed_metrics.json
25,0.504466518271427,89.81427982155567,0.000426923141906,0.5393074973259565,0.8911917098445595,0.8121773986756564,0.8121773986756564,0.8187555804734196,0.827509791795506,0.8035793353308903,0.8030899285818394,0.7877951857461019,0.9842017859466284,0.9842017859466284,0.8596882642661537,0.8121773986756564,0.9756177870704452,0.827509791795506,0.9790831161387478,0.9642857142857144,0.9708663819402076,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_025_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_25.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_025_detailed_metrics.json
30,0.4662264248924318,91.58068510426304,0.0003971524204469,0.5597406199559029,0.8756476683937824,0.81146620510732,0.81146620510732,0.8209885471611751,0.8393511250654109,0.7730553086768501,0.7707384676301723,0.7797865162057942,0.9824095635320422,0.9824095635320422,0.8394580615600606,0.81146620510732,0.9683203110984744,0.8393511250654109,0.9762878914133348,0.9476744186046512,0.9636973764490544,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_030_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_30.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_030_detailed_metrics.json
35,0.4437072607785082,92.7197688815518,0.000363770629685,0.5541762650939467,0.8756476683937824,0.8258601445012594,0.8258601445012594,0.8292395930026591,0.8399392376289561,0.7737392056637393,0.7719686900014768,0.7953274860263583,0.9833863339213604,0.9833863339213604,0.8481342846658648,0.8258601445012594,0.969467341525099,0.8399392376289561,0.97630962200855,0.962624584717608,0.968883465527761,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_035_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_35.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_035_detailed_metrics.json
40,0.4270820990063363,93.40486999902164,0.0003275997400965,0.5615239859862649,0.8756476683937824,0.8172175965729973,0.8172175965729973,0.8317582501135782,0.8561724929206133,0.771882482384817,0.7682493620853554,0.7830006765628118,0.9812508624825113,0.9812508624825113,0.8640867777255462,0.8172175965729973,0.9657830799898146,0.8561724929206133,0.9761135437457532,0.9689922480620154,0.963392312385601,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_040_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_40.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_040_detailed_metrics.json
45,0.4058005701103242,94.61824185209632,0.0002895303990275,0.5534741915569404,0.8860103626943006,0.8108168544579694,0.8108168544579694,0.8213361082962412,0.8393979684897214,0.7923270449886164,0.7905382072912042,0.7818918186433227,0.9796692761120448,0.9796692761120448,0.857780783237972,0.8108168544579694,0.9710749641853532,0.8393979684897214,0.9780625294784128,0.9750830564784052,0.9621720561317876,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_045_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_45.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_045_detailed_metrics.json
50,0.3923051839075549,95.27858027113012,0.0002505,0.5651392837880189,0.8704663212435233,0.7996696683107832,0.7996696683107832,0.8188236047107015,0.8472326649958228,0.7613298416442017,0.7572082725305691,0.7634119319740672,0.9807238758038178,0.9807238758038178,0.8632227430554452,0.7996696683107832,0.963742263663284,0.8472326649958228,0.9752195832412373,0.9678848283499446,0.962477120195241,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_050_roc.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_50.csv,experiments\260601-0034_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_050_detailed_metrics.json
