,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,3,15,0,2,1,0,0
NV,0,120,0,0,3,0,0
BCC,0,1,9,3,1,0,1
AKIEC,0,4,0,1,3,0,0
BKL,1,12,3,2,4,0,0
DF,0,0,0,1,0,0,0
VASC,0,1,1,1,0,0,0
