,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,5,0,1,4,0,0
NV,2,116,1,0,4,0,0
BCC,0,1,9,4,1,0,0
AKIEC,0,1,0,4,2,1,0
BKL,0,11,1,0,10,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
