,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,12,5,0,1,3,0,0
NV,2,116,1,0,4,0,0
BCC,0,0,11,3,1,0,0
AKIEC,0,1,1,4,2,0,0
BKL,2,10,1,0,8,1,0
DF,0,0,0,1,0,0,0
VASC,0,0,1,1,0,0,1
