,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,9,9,0,0,3,0,0
NV,2,115,2,0,3,0,1
BCC,0,0,11,1,2,1,0
AKIEC,0,1,1,4,2,0,0
BKL,2,10,1,1,8,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
