,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,8,10,0,0,3,0,0
NV,0,117,0,0,5,1,0
BCC,0,0,9,5,1,0,0
AKIEC,0,1,0,4,3,0,0
BKL,1,9,0,1,11,0,0
DF,0,0,0,1,0,0,0
VASC,0,1,1,0,0,0,1
