,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,9,8,0,1,3,0,0
NV,1,119,2,0,1,0,0
BCC,1,1,10,2,0,1,0
AKIEC,0,1,1,5,1,0,0
BKL,0,1,0,2,19,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
