,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,3,0,0,7,0,0
NV,2,118,2,0,1,0,0
BCC,1,1,10,3,0,0,0
AKIEC,0,1,0,6,1,0,0
BKL,2,1,0,3,16,0,0
DF,0,0,0,0,1,0,0
VASC,0,0,0,0,0,0,3
