,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,1,0,3,0,9,0,8
NV,4,53,14,0,14,0,38
BCC,0,0,9,0,0,0,6
AKIEC,0,0,4,0,0,0,4
BKL,1,1,3,0,7,0,10
DF,0,1,0,0,0,0,0
VASC,0,0,0,0,0,0,3
