,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,14,1,0,0,5,1,0
NV,11,83,1,3,15,3,7
BCC,0,0,7,4,0,3,1
AKIEC,1,0,0,4,3,0,0
BKL,1,0,3,1,16,1,0
DF,0,0,0,1,0,0,0
VASC,0,0,1,0,0,0,2
