,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,15,3,1,0,2,0,0
NV,17,79,7,1,11,4,4
BCC,0,0,11,2,0,0,2
AKIEC,1,0,3,2,2,0,0
BKL,2,1,3,0,13,3,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
