,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,5,11,0,0,5,0,0
NV,0,118,1,0,4,0,0
BCC,0,0,11,3,1,0,0
AKIEC,0,2,0,3,3,0,0
BKL,1,8,0,1,12,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
