,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,7,10,0,0,4,0,0
NV,0,116,2,0,4,0,1
BCC,0,0,12,2,1,0,0
AKIEC,0,1,1,4,2,0,0
BKL,2,9,0,1,10,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
