,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,4,0,0,6,0,0
NV,3,115,0,0,5,0,0
BCC,1,0,9,1,3,0,1
AKIEC,0,2,1,1,4,0,0
BKL,3,9,1,0,9,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
