,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,604,139,59,76,170,34,31
NV,1104,3786,361,294,582,232,346
BCC,18,14,284,82,45,41,30
AKIEC,20,8,44,186,29,28,12
BKL,162,100,122,107,486,79,43
DF,4,3,8,15,9,75,1
VASC,4,5,6,4,2,1,120
