,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,547,148,67,89,164,45,53
NV,1050,3669,371,312,541,312,450
BCC,15,15,231,86,54,63,50
AKIEC,23,12,49,154,34,40,15
BKL,167,96,118,123,430,106,59
DF,1,5,17,19,16,51,6
VASC,8,8,10,6,5,4,101
