epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.0195105896346933,1.1584687141768484,71.27260605304755,0.9582338580195768,86.01036269430051,0.7389674495075191,0.7389674495075191,0.6968618394300902,0.6705113590827876,0.7701052585528352,0.7655237580993521,0.7159708645055033,0.9659392578760796,0.9659392578760796,0.7569119420141691,0.7389674495075191,0.977003414997984,0.6705113590827876,0.9657929201165746,0.9199889258028792,0.9566809029896278,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_005_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_05.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_005_detailed_metrics.json
10,0.0180902654352522,1.0337622843739271,77.58146512272934,1.2642188022791412,82.90155440414507,0.8075452132072342,0.8075452132072342,0.6950463247629676,0.6961473342175815,0.7027892943793421,0.6984232207964393,0.771511897581923,0.944249830323024,0.944249830323024,0.7710654416971154,0.8075452132072342,0.9639666843746888,0.6961473342175815,0.9637199854051824,0.6489479512735327,0.9202257474069556,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_010_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_10.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_010_detailed_metrics.json
15,0.0158780586302985,0.9547656581882478,81.9734977857601,0.9984657622371932,82.90155440414507,0.8485184095811273,0.8485184095811273,0.7318812134069009,0.6933941997851772,0.7182088718138734,0.713224368499257,0.8171763618448679,0.9649249072893968,0.9649249072893968,0.8725920787389655,0.8485184095811273,0.9686579522637404,0.6933941997851772,0.9587333195630698,0.7436323366555924,0.9324283099450884,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_015_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_15.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_015_detailed_metrics.json
20,0.0130905154352522,0.8533949560200694,86.79056587286001,0.9086160128598386,86.52849740932642,0.8597255531924521,0.8597255531924521,0.8273328315068238,0.8037616610671641,0.780009785216851,0.7743502113499415,0.8347212317374074,0.975890963928126,0.975890963928126,0.9094636434749156,0.8597255531924521,0.9749956785449556,0.8037616610671641,0.964134117941912,0.9316168327796236,0.9432580841976816,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_020_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_20.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_020_detailed_metrics.json
25,0.0100004999999999,0.7551933407276826,90.19918327544548,0.9840262220313511,85.49222797927462,0.7478517127471831,0.7478517127471831,0.7063002352335547,0.6826839826839828,0.7634394091291803,0.7570471609045543,0.7212498150050294,0.9549312972281528,0.9549312972281528,0.7486866824434318,0.7478517127471831,0.9733981022578464,0.6826839826839828,0.9625863815218434,0.8889811738648947,0.9161073825503356,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_025_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_25.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_025_detailed_metrics.json
30,0.0069104845647477,0.6207420930275074,94.06617217529256,0.9356593566855,90.67357512953367,0.7538248337028824,0.7538248337028824,0.7416154247543432,0.7338753387533875,0.8341391268537632,0.8337799043062201,0.7330350666286034,0.9687223668551443,0.9687223668551443,0.8519691142283984,0.7538248337028824,0.979210232925721,0.7338753387533875,0.9792650465662922,0.907253599114064,0.940817571690055,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_030_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_30.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_030_detailed_metrics.json
35,0.0041229413697014,0.5029020307610279,97.61646803518823,0.9768129037451868,89.63730569948186,0.8331557234867341,0.8331557234867341,0.8043243385330673,0.815423924282192,0.8130666908474291,0.8117899458774196,0.8071022253700695,0.9670483778665911,0.9670483778665911,0.9153107525229774,0.8331557234867341,0.9739465018833356,0.815423924282192,0.9784457466512244,0.8665559246954595,0.9191580231848688,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_035_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_35.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_035_detailed_metrics.json
40,0.0019107345647477,0.444792049004541,99.2749395782982,0.9390176528476064,88.60103626943005,0.8314512723049309,0.8314512723049309,0.7979459853012388,0.7994751664106502,0.7962298181581003,0.7960320891578998,0.8049468961626375,0.9705600961606506,0.9705600961606506,0.8414935046227338,0.8314512723049309,0.9734956238577068,0.7994751664106502,0.9745112667676128,0.8734772978959024,0.933648566198902,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_040_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_40.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_040_detailed_metrics.json
45,0.0004904103653066,0.4307854202044229,99.37494791041853,0.9058120596594144,90.15544041450777,0.8813932002956394,0.8813932002956394,0.8332789691559006,0.8117936507936507,0.8235581102365654,0.8231322046978248,0.8585907700479828,0.9675994706133914,0.9675994706133914,0.9185307969332718,0.8813932002956394,0.9771975697523436,0.8117936507936507,0.9793442699343656,0.8781838316722037,0.9365466748017084,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_045_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_45.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_045_detailed_metrics.json
50,1e-06,0.4284882524359453,99.64163680306692,0.9070521463384282,90.67357512953367,0.8878867067891457,0.8878867067891457,0.8379472900409636,0.8142509692048863,0.8335379686275829,0.8332533358932515,0.86712509286802,0.9673937696823912,0.9673937696823912,0.9186867068668728,0.8878867067891457,0.9792383860788744,0.8142509692048863,0.980267816848938,0.8839977851605758,0.935936546674802,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_050_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_50.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_050_detailed_metrics.json
55,0.0004904103653066,0.4288102970966568,99.52496041336778,0.924746930908045,89.63730569948186,0.7385360574384965,0.7385360574384965,0.7355096288616433,0.734922902494331,0.8139839970640126,0.81363460795674,0.7148982053027865,0.9658150890620656,0.9658150890620656,0.8465372175926268,0.7385360574384965,0.9763621478642902,0.734922902494331,0.9785714166002644,0.8787375415282391,0.9356314826113484,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_055_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_055_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_55.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_055_detailed_metrics.json
60,0.0019107345647477092,0.4276960604547888,99.51662638553213,0.9132644327193344,90.15544041450777,0.8867252666033154,0.8867252666033154,0.8347813075425036,0.8083561837229543,0.8250059975180515,0.824847153228888,0.8651330878981364,0.9668753996595914,0.9668753996595914,0.9165848400809768,0.8867252666033154,0.9784078212948211,0.8083561837229543,0.9783124679927538,0.8900885935769657,0.937614399023795,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\roc_curves\epoch_060_roc.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\confusion_matrices\epoch_060_confusion_matrix.png,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\predictions\val_predictions_epoch_60.csv,experiments\260505-1518_resnet50_diff-sd_full_lr_0.02\metrics\epoch_060_detailed_metrics.json
