,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,16,2,1,0,2,0,0
NV,3,118,2,0,0,0,0
BCC,0,0,13,0,1,1,0
AKIEC,0,1,0,5,2,0,0
BKL,1,2,1,1,17,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
