,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,15,3,0,0,3,0,0
NV,5,115,1,0,2,0,0
BCC,1,0,11,2,1,0,0
AKIEC,1,1,1,4,1,0,0
BKL,0,0,0,2,20,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
