,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,13,5,0,0,3,0,0
NV,1,120,1,0,1,0,0
BCC,1,1,12,1,0,0,0
AKIEC,1,1,1,4,1,0,0
BKL,0,2,0,2,18,0,0
DF,0,0,0,0,1,0,0
VASC,0,1,0,0,0,0,2
