,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,0,24,0,3,0,0,0,0,0,2,0
BCC,0,242,0,2,0,0,0,5,7,9,0
BEN_OTH,0,1,0,1,0,0,0,2,1,0,0
BKL,0,29,0,5,0,0,0,2,7,3,0
DF,0,1,0,0,0,0,0,0,3,1,0
INF,0,4,0,0,0,0,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,0,9,0,2,0,0,0,11,20,2,0
NV,0,3,0,1,0,0,0,11,50,1,0
SCCKA,0,40,0,3,0,0,0,0,1,14,0
VASC,0,1,0,0,0,0,0,0,1,0,0
