,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,1,18,0,7,0,0,0,1,0,2,0
BCC,0,245,0,3,0,0,0,4,4,9,0
BEN_OTH,0,2,0,0,0,0,0,1,2,0,0
BKL,1,26,0,9,0,0,0,2,6,2,0
DF,0,1,0,0,0,0,0,0,3,1,0
INF,0,4,0,0,0,0,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,0,9,0,3,0,0,0,13,19,0,0
NV,0,4,0,1,0,0,0,9,52,0,0
SCCKA,0,32,0,4,0,0,0,0,1,21,0
VASC,0,1,0,0,0,0,0,0,1,0,0
