,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,9,9,0,1,2,0,0
NV,3,111,1,0,6,1,1
BCC,0,0,10,3,1,0,1
AKIEC,1,1,0,3,3,0,0
BKL,1,6,0,1,14,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
