,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,7,11,0,0,3,0,0
NV,0,115,2,0,6,0,0
BCC,1,0,8,4,1,0,1
AKIEC,0,3,0,3,2,0,0
BKL,2,6,0,2,12,0,0
DF,0,0,0,1,0,0,0
VASC,0,2,1,0,0,0,0
