,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,7,11,1,0,2,0,0
NV,1,115,4,0,2,1,0
BCC,0,0,11,4,0,0,0
AKIEC,0,1,0,4,3,0,0
BKL,1,3,1,0,17,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,1,0,0,1,1
