,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,9,8,0,1,3,0,0
NV,1,112,1,0,8,1,0
BCC,0,0,11,3,0,0,1
AKIEC,0,3,0,3,2,0,0
BKL,2,8,0,1,11,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
