,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,12,5,0,1,3,0,0
NV,3,114,0,0,5,1,0
BCC,0,0,13,1,0,0,1
AKIEC,0,2,0,3,3,0,0
BKL,3,8,0,1,10,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
