epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_auroc,roc_curve_path,confusion_matrix_path,val_predictions_path
1,0.001,1.5931035001162657,51.39949105855669,1.2347670493235114,61.06870229007634,0.1603557316047819,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_001_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_001_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_01.csv
2,0.001,1.1697084627685352,61.57760814572917,1.1110409912262251,62.786259541984734,0.2072512571860895,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_002_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_002_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_02.csv
3,0.001,1.0191165854407125,66.07294311394016,1.0474142882660145,66.03053435114504,0.2586486943172948,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_003_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_003_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_03.csv
4,0.001,0.8952400894666547,69.52926204768755,1.033796883721388,65.83969465648855,0.2707842101155006,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_004_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_004_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_04.csv
5,0.001,0.7676465470877818,74.02459709031588,1.0059532341156296,67.55725190839695,0.2985286066644097,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_005_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_005_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_05.csv
6,0.001,0.6491463850169388,78.22307036628756,1.0451931252734352,67.74809160305344,0.3019540202648606,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_006_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_006_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_06.csv
7,0.001,0.5431262348747738,83.24851574303236,1.0392876221933438,69.08396946564885,0.3188922714658144,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_007_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_007_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_07.csv
8,0.001,0.4532580052876088,86.87446979914205,1.06563853262035,67.74809160305344,0.3129695073183866,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_008_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_008_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_08.csv
9,0.001,0.380686550978587,89.5038167291824,1.1026948258167004,66.79389312977099,0.3119586822975738,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_009_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_009_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_09.csv
10,0.001,0.3204402428395269,91.68787101247332,1.1169893869006906,66.98473282442748,0.3146513512360741,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_010_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_010_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_10.csv
11,0.001,0.2654046483268366,93.59626797198035,1.1191406381949214,66.79389312977099,0.3139816366367376,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_011_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_011_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_11.csv
12,0.001,0.220051898553879,94.8685326094947,1.1573758311854063,67.36641221374046,0.3116980309774346,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_012_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_012_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_12.csv
13,0.001,0.1869475136276419,96.18320607451489,1.1583584228544743,66.41221374045801,0.3341961961325307,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_013_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_013_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_13.csv
14,0.001,0.1577169649094419,97.0949957138204,1.194650255541765,65.45801526717557,0.3400246922567804,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_014_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_014_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_14.csv
15,0.001,0.1328547133655746,97.75233248515693,1.2109317301793865,67.36641221374046,0.3608648195022192,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_015_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_015_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_15.csv
16,0.001,0.115688793563408,98.21882951006836,1.2232811505557926,66.6030534351145,0.3485134413325195,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_016_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_016_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_16.csv
17,0.001,0.0999929913342555,98.66412213740458,1.2412482677525236,66.41221374045801,0.3492874874181949,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_017_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_017_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_17.csv
18,0.001,0.0887115656053039,98.96098387817692,1.2568235902385858,66.6030534351145,0.365091302558659,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_018_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_018_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_18.csv
19,0.001,0.0746879658777901,99.34266326748993,1.2777787815523511,66.03053435114504,0.3478226305610198,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_019_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_019_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_19.csv
20,0.001,0.06597400371670925,99.42748091603053,1.2892376903359217,66.22137404580153,0.358250950254648,,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_020_roc.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_020_confusion_matrix.png,experiments\20260329_203853_resnet50_pretrained_lr0.001_bs128_seedNone\predictions\val_predictions_epoch_20.csv
