,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,13,5,0,1,1,1,0
NV,1,120,1,0,1,0,0
BCC,0,1,12,2,0,0,0
AKIEC,0,1,0,7,0,0,0
BKL,0,5,0,1,15,1,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
