,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,6,8,1,0,6,0,0
NV,0,117,2,0,4,0,0
BCC,0,1,12,0,2,0,0
AKIEC,0,2,3,0,3,0,0
BKL,2,10,1,0,9,0,0
DF,0,1,0,0,0,0,0
VASC,1,1,1,0,0,0,0
