,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,14,6,0,0,1,0,0
NV,2,115,1,0,5,0,0
BCC,1,1,9,4,0,0,0
AKIEC,0,4,0,3,1,0,0
BKL,5,11,0,3,3,0,0
DF,0,1,0,0,0,0,0
VASC,1,0,2,0,0,0,0
